Date,Open,High,Low,Close,Adj Close,Volume
10-10-2012,361.5,364.4500122,359,360.5750122,340.0264282,2011062
11-10-2012,361,361.25,355.125,360.0249939,339.507782,2763132
12-10-2012,361.5,363.1499939,354.8250122,356.625,336.3015747,1129144
15-10-2012,359.3500061,359.8500061,355.0249939,357.3999939,337.0323181,1276120
16-10-2012,359.3999939,360.7000122,356.5249939,359.1000061,338.6355591,909036
17-10-2012,360.5249939,361.5,355.0499878,355.75,335.4763794,751248
18-10-2012,355.125,357.2999878,349.125,349.8999939,329.9597778,2388514
19-10-2012,349.8999939,349.8999939,342.0499878,347.3999939,327.6022644,3528600
22-10-2012,347.4500122,350,340.25,349.5499878,329.6297607,1168318
23-10-2012,351.4750061,351.4750061,346.6499939,349,329.1111145,818056
25-10-2012,351.5,351.8250122,345,347.4500122,327.6494141,1675108
29-10-2012,342,345.2250061,340.0249939,343.8999939,324.3017273,469010
30-10-2012,342.2000122,343.5249939,340.0249939,341.8999939,322.4157104,540312
31-10-2012,338.6000061,348.7250061,338.5,347.0750122,327.2958069,1903328
01-11-2012,346,351.9500122,344.5249939,350.7250061,330.737793,1105676
02-11-2012,351.7749939,353.7999878,346.5750122,348.4750061,328.6159973,1576272
05-11-2012,350.875,352.3500061,348.0249939,348.9500122,329.0639648,955088
06-11-2012,348.3500061,352.1749878,345.7999878,349.2000122,329.2997437,1178430
07-11-2012,349.2250061,352.7749939,348.5249939,350.1749878,330.2191162,1227750
08-11-2012,350.4500122,357,345.1000061,348.2749939,328.4274292,3533206
09-11-2012,346.2999878,353.2999878,345.5,347.1000061,327.3193359,1012262
12-11-2012,349.3500061,349.9249878,342,345.9750061,326.2584534,739238
15-11-2012,343,344.7000122,328,342.1000061,322.6043091,2059576
16-11-2012,341,345.25,337.875,339.5,320.1524658,1433138
19-11-2012,338,344.1000061,336.5249939,340.2250061,320.8361511,1118136
20-11-2012,341.625,342.75,336,341.5499878,322.0856628,932626
21-11-2012,342.25,351.3999939,340.1499939,350.2250061,330.2662659,2390410
22-11-2012,350,351.5,344.1499939,349.6000061,329.6768494,1062766
23-11-2012,347.6000061,354,345.7000122,352.6499939,332.5530396,1470290
26-11-2012,354.625,354.625,346.4500122,348.3999939,328.5453186,624976
27-11-2012,348.5249939,351.25,347,349.9750061,330.0304871,1100676
29-11-2012,348.5,357.3999939,348.5,354.9750061,334.745575,1952048
30-11-2012,355.0499878,357.4750061,352.625,354.9249878,334.6984558,1593304
03-12-2012,353.7749939,355.8250122,349.7749939,352.5249939,332.4352112,1017862
04-12-2012,351.2999878,355,350.75,351.8999939,331.8457642,911480
05-12-2012,352.875,355.5,349.0499878,351.2749939,331.2565002,1198858
06-12-2012,350.5499878,354.4750061,346.4500122,351.5750122,331.5393677,2032942
07-12-2012,350.0499878,353,347.25,349.9500122,330.0069275,1377750
10-12-2012,350,355.3500061,347.5,352.2999878,332.2229614,1633846
11-12-2012,354.9249878,368.4750061,353.2749939,357.7999878,337.4096069,3350478
12-12-2012,358.7999878,364.75,358.5499878,362.9249878,342.2424316,1823000
13-12-2012,364.0249939,364.5,356.75,359.2749939,338.8005676,1457298
14-12-2012,360.0499878,362.9750061,358.1000061,359.4750061,338.9892273,969798
17-12-2012,357.0499878,362.3999939,357.0499878,360.5249939,339.9792786,2047662
18-12-2012,363.375,369.6000061,362.5750122,368.4750061,347.4761963,3048086
19-12-2012,370.5,384.9500122,370.25,382.3999939,360.6076965,1951640
20-12-2012,384.8999939,387.9500122,372.125,373.5,352.2148743,1693518
21-12-2012,373.5,376,364.0499878,364.7250061,343.9400024,1407506
24-12-2012,366.4500122,372.6499939,362.7000122,370.4249878,349.315094,1200888
26-12-2012,371.8999939,379.9500122,371.2250061,376.8500061,355.3739929,1059686
27-12-2012,379,381.5499878,371.25,372.75,351.5076599,1429614
28-12-2012,373.8500061,376.4500122,365.5249939,369.75,348.6786499,986386
31-12-2012,369.7999878,370.5,366.5499878,368.125,347.1461487,390038
01-01-2013,369.5499878,374.8999939,368.3500061,369.75,348.6786499,591988
02-01-2013,370.0499878,373.5,369.7999878,370.4500122,349.3387451,1043632
03-01-2013,373.9750061,373.9750061,365.0499878,366.9249878,346.0145874,1040878
04-01-2013,368.75,368.75,363.2250061,367.5750122,346.627533,1031736
07-01-2013,370.3999939,374.4249878,368.5499878,372.0750122,350.8710938,1968642
08-01-2013,372.5249939,380,372.5249939,377.2250061,355.7276001,2574802
09-01-2013,377.5,383.3250122,375.7749939,380.6000061,358.9102783,1819204
10-01-2013,382,382.4500122,375.1000061,377.125,355.6332703,1012396
11-01-2013,376.75,377.7749939,367.5499878,369.625,348.56073,1182982
14-01-2013,370.2250061,370.2250061,366,367.6499939,346.6982422,1647772
15-01-2013,367.5499878,367.8250122,363.1000061,365.1000061,344.2935486,785236
16-01-2013,362.5750122,368.9249878,359,359.6749878,339.1777344,1503468
17-01-2013,360,360.8250122,356.1749878,358.5,338.0696411,1800816
18-01-2013,360,362,353,356.0249939,335.7357483,1639450
21-01-2013,356.25,357.0499878,347,349.9249878,329.9833679,3077902
22-01-2013,351.4500122,357.8500061,350.7250061,355.3500061,335.0992126,2258682
23-01-2013,355.5,356.7250061,352.0499878,354.875,334.6513367,1375524
24-01-2013,354,359.3999939,352.5,355.125,334.8870544,1313338
25-01-2013,356.3999939,366.4249878,350,364.3500061,343.5862427,2269980
28-01-2013,365,365.1749878,357.5499878,360.2749939,339.7435303,767284
29-01-2013,358.6000061,364.4500122,354.1000061,355.6749878,335.4057007,822060
30-01-2013,356.9500122,358.125,352.375,354.4249878,334.2268677,611896
31-01-2013,351.625,362.1499939,351.625,359,338.5411377,1453696
01-02-2013,359.0249939,362,358.25,359.9500122,339.4370728,494318
04-02-2013,359.0249939,363.375,357.5,359.8500061,339.3427734,1340546
05-02-2013,367.5,376,365.4249878,374.75,353.3936462,4320004
06-02-2013,377.1499939,380,372.75,374.25,352.9221497,2437380
07-02-2013,373,377.375,372.5249939,374.75,353.3936462,1619600
08-02-2013,375.7000122,379,370.8250122,373.0499878,351.7905273,3330272
11-02-2013,375.6499939,377.375,373,374.6749878,353.3228455,1830156
12-02-2013,375,387.1749878,373.25,385.8500061,363.861084,2452572
13-02-2013,387,389.9249878,385,387.7250061,365.6292114,2224038
14-02-2013,387.4249878,391.9500122,385.0750122,389.4750061,367.27948,2065870
15-02-2013,388,394.1499939,388,393.1000061,370.697876,1863412
18-02-2013,393.5,397.4750061,391.1000061,394.0249939,371.5701294,1662562
19-02-2013,393.0499878,397.5,388.2999878,396.3250122,373.7391052,1212136
20-02-2013,397.5,402.3999939,395.1499939,399.6499939,376.8746033,1894642
21-02-2013,398.875,401,396.5750122,398.75,376.0259399,1410756
22-02-2013,399.9500122,406.9750061,399.5499878,405.7749939,382.6504822,2569798
25-02-2013,406,413,402.75,411.0249939,387.6013794,1927688
26-02-2013,411.5,411.5249939,398.6749878,399.7000122,376.9217529,1060678
27-02-2013,401.7999878,404.8999939,394.5249939,399.4249878,376.6624756,1923936
28-02-2013,401.125,406.9750061,397.875,401.0750122,378.2184143,4031342
01-03-2013,401.0750122,403.5,392.8250122,399.6749878,376.8981323,1250104
04-03-2013,399,405.3999939,395.8999939,399.5499878,376.780304,2478736
05-03-2013,400.3500061,403.3999939,396.2999878,399.4750061,376.7096252,1161012
06-03-2013,400.1499939,403,397.5,398.75,376.0259399,1168412
07-03-2013,399,407.5,397.5499878,405.125,382.0376282,1668392
08-03-2013,406,411.4500122,406,408.9750061,385.6681824,1361258
11-03-2013,410,419.3250122,408.25,416.7000122,392.9529419,2524388
12-03-2013,417.125,419.75,410.5,413.6749878,390.1003113,1984306
13-03-2013,417,419.8999939,415.2749939,418.7000122,394.8390808,2125560
14-03-2013,419.5,421.5249939,414.25,415.0750122,391.4206543,3003670
15-03-2013,417.5,421.7250061,413.1000061,416.7999878,393.0472412,2263572
18-03-2013,414.75,421,413.8999939,416.2250061,392.5050659,1513756
19-03-2013,417.5,424.3999939,415.3250122,419.5249939,395.6170349,3579608
20-03-2013,419,424.2000122,417.6000061,419.125,395.2398071,1787226
21-03-2013,419.125,422,415,415.6499939,391.9627991,1507534
22-03-2013,417.5,418.125,409.75,410.25,386.870575,1874746
25-03-2013,413.5750122,414,408.7999878,410.2250061,386.8469849,2209706
26-03-2013,409,412.7250061,407.1499939,411.8500061,388.379364,1466472
28-03-2013,414.8999939,414.8999939,408.2999878,409.4750061,386.1397095,1938014
01-04-2013,408.0249939,412,405,406.3250122,383.16922,529638
02-04-2013,406.125,426.875,405.5499878,425.6499939,401.3929138,2410474
03-04-2013,426.4750061,438.5499878,424.75,432.1499939,407.5224915,2615936
04-04-2013,431.5,437.4500122,429.25,429.9750061,405.4714355,1881574
05-04-2013,431.5,434.5,425.5,429.6749878,405.1885681,973426
08-04-2013,429.75,437.4500122,424.5,432.7250061,408.0647583,1285532
09-04-2013,431,437,430.125,433.8999939,409.1727295,1893340
10-04-2013,441,441,423.1499939,428.7250061,404.2926941,2028646
11-04-2013,432.5,437.5,428.7999878,436.1749878,411.3181763,1878720
12-04-2013,438.5,441,432.5,434.875,410.0921631,871688
15-04-2013,436.5,439,433,436.5,411.6245728,1054114
16-04-2013,435,447.4500122,434.5,444.7000122,419.3572998,1114702
17-04-2013,443.1499939,462,441.8500061,457.125,431.0742188,2785996
18-04-2013,457.5,462.4500122,454.0750122,458.125,432.0172119,1706792
22-04-2013,461,472.25,457.9500122,463.5249939,437.1094666,2539560
23-04-2013,462.1000061,476.7250061,462.1000061,474.9750061,447.9069824,1367732
25-04-2013,475.0499878,492.8500061,471.75,489.7999878,461.8871155,4517038
26-04-2013,486.25,487.5,477.1749878,478.0499878,450.8067627,2150012
29-04-2013,482,483.7999878,467.8999939,470.25,443.4512024,1885780
30-04-2013,471.0249939,482.4750061,470.2999878,475.5249939,448.4255981,1419360
02-05-2013,473.6749878,487.1000061,473.25,483.5249939,455.969696,1594214
03-05-2013,485.3999939,494.7000122,481,492.3500061,464.291748,2787976
